10 1fs: 2.020 100fs: 3.224
20 1fs: 2.303 100fs: 4.531
30 1fs: 2.440 100fs: 5.803
40 1fs: 2.604 100fs: 6.196
50 1fs: 2.768 100fs: 7.237
60 1fs: 2.933 100fs: 8.812
70 1fs: 3.119 100fs: 8.570
80 1fs: 3.308 100fs: 9.527
90 1fs: 3.466 100fs: 9.786
100 1fs: 3.644 100fs: 9.264
110 1fs: 3.787 100fs: 11.050
120 1fs: 3.907 100fs: 10.721
130 1fs: 4.065 100fs: 10.390
140 1fs: 4.201 100fs: 13.792
150 1fs: 4.291 100fs: 13.519
160 1fs: 4.378 100fs: 16.929
170 1fs: 4.518 100fs: 12.441
180 1fs: 4.580 100fs: 14.613
190 1fs: 4.704 100fs: 16.275
200 1fs: 4.769 100fs: 13.830
210 1fs: 4.858 100fs: 13.947
220 1fs: 4.979 100fs: 16.290
230 1fs: 4.968 100fs: 17.308
240 1fs: 5.108 100fs: 16.550
250 1fs: 5.204 100fs: 17.837
260 1fs: 5.264 100fs: 14.970
270 1fs: 5.354 100fs: 20.241
280 1fs: 5.432 100fs: 18.693
290 1fs: 5.538 100fs: 17.321
300 1fs: 5.598 100fs: 23.451
310 1fs: 5.590 100fs: 22.539
320 1fs: 5.596 100fs: 20.849
330 1fs: 5.784 100fs: 18.102
340 1fs: 5.855 100fs: 16.485
350 1fs: 5.866 100fs: 24.785
360 1fs: 5.901 100fs: 26.679
370 1fs: 6.059 100fs: 21.438
380 1fs: 6.022 100fs: 22.250
390 1fs: 6.079 100fs: 22.374
400 1fs: 6.174 100fs: 21.416
410 1fs: 6.197 100fs: 24.082
420 1fs: 6.189 100fs: 20.882
430 1fs: 6.305 100fs: 22.302
440 1fs: 6.356 100fs: 23.471
450 1fs: 6.419 100fs: 25.756
460 1fs: 6.317 100fs: 22.191
470 1fs: 6.466 100fs: 21.853
480 1fs: 6.581 100fs: 22.096
490 1fs: 6.605 100fs: 21.517
500 1fs: 6.777 100fs: 22.067
510 1fs: 6.749 100fs: 20.749
520 1fs: 6.819 100fs: 21.661
530 1fs: 6.806 100fs: 25.584
540 1fs: 6.980 100fs: 25.365
550 1fs: 6.883 100fs: 24.087
560 1fs: 6.926 100fs: 24.677
570 1fs: 6.948 100fs: 23.447
580 1fs: 7.064 100fs: 25.634
590 1fs: 7.235 100fs: 26.554
600 1fs: 7.180 100fs: 28.188
610 1fs: 7.094 100fs: 28.442
620 1fs: 7.145 100fs: 30.161
630 1fs: 7.301 100fs: 25.453
640 1fs: 7.258 100fs: 27.589
650 1fs: 7.445 100fs: 29.653
660 1fs: 7.494 100fs: 30.870
670 1fs: 7.612 100fs: 31.753
680 1fs: 7.581 100fs: 28.887
690 1fs: 7.507 100fs: 29.488
700 1fs: 7.532 100fs: 31.704
710 1fs: 7.611 100fs: 31.451
720 1fs: 7.635 100fs: 26.141
730 1fs: 7.577 100fs: 23.182
740 1fs: 7.729 100fs: 22.149
750 1fs: 7.734 100fs: 23.301
760 1fs: 7.781 100fs: 25.244
770 1fs: 7.737 100fs: 25.670
780 1fs: 7.903 100fs: 23.338
790 1fs: 7.885 100fs: 25.761
800 1fs: 8.008 100fs: 22.920
810 1fs: 7.996 100fs: 23.442
820 1fs: 8.050 100fs: 24.765
830 1fs: 8.196 100fs: 23.090
840 1fs: 8.007 100fs: 24.097
850 1fs: 8.271 100fs: 23.275
860 1fs: 8.169 100fs: 23.926
870 1fs: 8.387 100fs: 26.386
880 1fs: 8.212 100fs: 24.995
890 1fs: 8.269 100fs: 23.853
900 1fs: 8.471 100fs: 24.326
910 1fs: 8.402 100fs: 25.523
920 1fs: 8.170 100fs: 24.615
930 1fs: 8.203 100fs: 25.430
940 1fs: 8.397 100fs: 25.563
950 1fs: 8.620 100fs: 24.923
960 1fs: 8.423 100fs: 23.316
970 1fs: 8.310 100fs: 22.335
980 1fs: 8.515 100fs: 22.950
990 1fs: 8.601 100fs: 22.507
